,Film,Eigenvector Centrality,Country,tconst,Year
3014,Kenka karate kyokushinken (1977),1.6961592115531452e-14,Japan,tt0165348,1977
3015,Tender Is the Night (1962),1.6961571723514103e-14,USA,tt0056566,1962
3016,Carousel (1956),1.696157160814151e-14,USA,tt0049055,1956
3017,Prisoner of War (1954),1.6961571608110382e-14,USA,tt0047369,1954
3018,Teenage Cover Girls (1976),1.6961525152457153e-14,USA,tt0130307,1976
3019,Kyokuskin kenka karate burai ken (1977),1.6961049077907204e-14,Japan,tt0188799,1977
3020,Se7en (1995),1.6848689169011314e-14,USA,tt0114369,1995
3021,Explorers (1985),1.6628512082668206e-14,USA,tt0089114,1985
3022,Herbie Goes to Monte Carlo (1977),1.66285114977099e-14,USA,tt0076137,1977
3023,The Brother from Another Planet (1984),1.66285114976977e-14,USA,tt0087004,1984
3024,For Love or Money (1993),1.662851149769769e-14,USA,tt0106941,1993
3025,A Connecticut Yankee in King Arthur's Court (1949),1.6485526127157075e-14,USA,tt0041259,1949
3026,Colors (1988),1.628763140166224e-14,USA,tt0094894,1988
3027,Gulliver's Travels (1939),1.595608793560514e-14,USA,tt0031397,1939
3028,Shao Lin tong zi gong (1981),1.538570336573194e-14,Taiwan,tt0201099,1981
3029,Stir Crazy (1980),1.5110640959386843e-14,USA,tt0081562,1980
3030,Wu du (1978),1.5110133392209932e-14,Hong Kong,tt0077559,1978
3031,Fade to Black (1980),1.5110066429138186e-14,USA,tt0080711,1980
3032,Meng hu dou kuang long (1974),1.5110066429135797e-14,Hong Kong,tt0188796,1974
3033,Charlie Chan and the Curse of the Dragon Queen (1981),1.511006642913579e-14,USA,tt0082159,1981
3034,Cha shou (1981),1.511006642913579e-14,Hong Kong,tt0082153,1981
3035,Ma Ge Bo Luo (1975),1.511006642913579e-14,"Taiwan,Hong Kong",tt0073326,1975
3036,Men in Black (1997),1.4773699286736354e-14,USA,tt0119654,1997
3037,Kaze no tani no Naushika (1984),1.357853930111197e-14,"Japan,USA",tt0087544,1984
3038,Zatôichi umi o wataru (1966),1.2992185857413788e-14,Japan,tt0199905,1966
3039,Smokey and the Bandit II (1980),1.2306534003269918e-14,USA,tt0081529,1980
3040,Lord Jim (1965),1.2306474270801927e-14,USA,tt0059399,1965
3041,Boys of the City (1940),1.1928306790799668e-14,USA,tt0032277,1940
3042,Fatal Attraction (1987),1.1718485932538648e-14,USA,tt0093010,1987
3043,Wong Fei Hung II: Nam yee tung chi keung (1992),1.16501031627494e-14,Hong Kong,tt0105839,1992
3044,The Black Cauldron (1985),1.1630935354149724e-14,USA,tt0088814,1985
3045,Bad Influence (1990),1.1378086028330679e-14,USA,tt0099091,1990
3046,The Blue Dahlia (1946),1.120825365345816e-14,USA,tt0038369,1946
3047,The Incredible Journey (1963),1.1052169786082127e-14,USA,tt0057180,1963
3048,The Spaceman and King Arthur (1979),1.1014332320393774e-14,USA,tt0080062,1979
3049,The Manster (1959),1.1014332320393774e-14,"USA,Japan",tt0055139,1959
3050,The 3 Worlds of Gulliver (1960),1.1014332320393774e-14,USA,tt0053882,1960
3051,CB4 (1993),1.0858047892572138e-14,USA,tt0106500,1993
3052,Salt and Pepper (1968),1.0821779689669981e-14,USA,tt0063534,1968
3053,Desperately Seeking Susan (1985),1.0338537412469527e-14,USA,tt0089017,1985
3054,The Crimson Pirate (1952),9.879049682254571e-15,USA,tt0044517,1952
3055,Bob Roberts (1992),9.823323161287756e-15,USA,tt0103850,1992
3056,The Greatest Show on Earth (1952),9.759752916943312e-15,USA,tt0044672,1952
3057,The Four Horsemen of the Apocalypse (1962),9.759738724309158e-15,USA,tt0054890,1962
3058,Homeward Bound: The Incredible Journey (1993),9.755787250851565e-15,USA,tt0107131,1993
3059,Glengarry Glen Ross (1992),9.732545008535623e-15,USA,tt0104348,1992
3060,A Nightmare on Elm Street: The Dream Child (1989),9.602085466560087e-15,USA,tt0097981,1989
3061,My Favorite Wife (1940),9.530942441858857e-15,USA,tt0029284,1940
3062,Wolf (1994),9.467338205794574e-15,USA,tt0111742,1994
3063,Wag the Dog (1997),9.083656735933238e-15,USA,tt0120885,1997
3064,The Bellboy (1960),9.004325881229637e-15,USA,tt0053644,1960
3065,Braveheart (1995),8.915175125556513e-15,USA,tt0112573,1995
3066,Race with the Devil (1975),8.787455613716111e-15,USA,tt0073600,1975
3067,Adam's Rib (1949),8.712576558689882e-15,USA,tt0041090,1949
3068,Nightmare (1981),8.653163722724408e-15,USA,tt0082818,1981
3069,The 13th Warrior (1999),8.53476151705157e-15,USA,tt0120657,1999
3070,Crime and Punishment (1935),8.529597241372933e-15,USA,tt0026246,1935
3071,The Incredible Hulk (2008),8.48092346383987e-15,USA,tt0800080,2008
3072,Deal of the Century (1983),8.41462090950288e-15,USA,tt0085412,1983
3073,Daikaijû kettô: Gamera tai Barugon (1966),8.323364845730321e-15,Japan,tt0060446,1966
3074,The Corpse Grinders (1971),8.155045098145646e-15,USA,tt0068414,1971
3075,Cockfighter (1974),8.15504509814561e-15,USA,tt0071338,1974
3076,Murder Is My Beat (1955),8.155045098145603e-15,USA,tt0048396,1955
3077,Electra Glide in Blue (1973),8.118193660495461e-15,USA,tt0070022,1973
3078,The Immigrant (1917),8.116614740864667e-15,USA,tt0005535,1917
3079,City Girl (1930),8.116614740852741e-15,USA,tt0020768,1930
3080,No Holds Barred (1952),8.076491279513368e-15,USA,tt0044969,1952
3081,Blackie's Redemption (1919),7.97516587884656e-15,USA,tt0008887,1919
3082,The Lone Wolf (1917),7.974735735644537e-15,USA,tt0008201,1917
3083,Oklahoma Renegades (1940),7.974731711578746e-15,USA,tt0032859,1940
3084,Leather Burners (1943),7.974731711578744e-15,USA,tt0036103,1943
3085,Trail of the Silver Spurs (1941),7.974731711578742e-15,USA,tt0034309,1941
3086,Kigeki ekimae onsen (1962),7.974731711578742e-15,Japan,tt0322961,1962
3087,Swedish Erotica 53 (1983),7.97473171157874e-15,USA,tt0274130,1983
3088,Zoku shachô yôkôki (1962),7.97473171157874e-15,Japan,tt0313826,1962
3089,Blondie Goes Latin (1941),7.97473171157874e-15,USA,tt0033403,1941
3090,Chikan densha (1975),7.97473171157874e-15,Japan,tt0355994,1975
3091,Otoko wa tsurai yo: Torajiro kamifusen (1981),7.974731711578736e-15,Japan,tt0082866,1981
3092,The Naked Kiss (1964),7.937909335742639e-15,USA,tt0058390,1964
3093,One More Time (1970),7.937909335691458e-15,USA,tt0066183,1970
3094,Murders in the Rue Morgue (1932),7.904130706986866e-15,USA,tt0023249,1932
3095,El Dorado (1967),7.896851782796452e-15,USA,tt0061619,1967
3096,The Dark Mirror (1946),7.893101169537095e-15,USA,tt0038455,1946
3097,Exorcist II: The Heretic (1977),7.89219093504646e-15,USA,tt0076009,1977
3098,The Adventures of Huckleberry Finn (1960),7.892001018064173e-15,USA,tt0053571,1960
3099,Starting Over (1979),7.890831422480837e-15,USA,tt0079948,1979
3100,The Robe (1953),7.89067073197269e-15,USA,tt0046247,1953
3101,Tian can di que (1979),7.890227976435836e-15,"Taiwan,Hong Kong",tt0122029,1979
3102,The Super Weapon (1976),7.890227976435682e-15,USA,tt0201210,1976
3103,Flowing Gold (1924),7.840076147457938e-15,USA,tt0325396,1924
3104,Army of Darkness (1992),7.78119958196409e-15,USA,tt0106308,1992
3105,The Firm (1993),7.675227541158593e-15,USA,tt0106918,1993
3106,Twin Peaks: Fire Walk with Me (1992),7.60686548773378e-15,USA,tt0105665,1992
3107,Ma and Pa Kettle at the Fair (1952),7.56297173863221e-15,USA,tt0044862,1952
3108,Francis Goes to West Point (1952),7.562971738309027e-15,USA,tt0044633,1952
3109,Papillon (1973),7.521249169592744e-15,USA,tt0070511,1973
3110,Reversal of Fortune (1990),7.279554835336024e-15,"USA,Japan",tt0100486,1990
3111,Reunion in France (1942),7.270436386382176e-15,USA,tt0035250,1942
3112,The Shadow Strikes (1937),7.269990282281553e-15,USA,tt0029542,1937
3113,Night Has a Thousand Eyes (1948),7.269990282281235e-15,USA,tt0040643,1948
3114,Shriek of the Mutilated (1974),7.269990282236322e-15,USA,tt0072156,1974
3115,AC/DC: Let There Be Rock (1980),7.269990282222794e-15,USA,tt0080321,1980
3116,The Little Princess (1939),7.0314474691573064e-15,USA,tt0031580,1939
3117,Bedtime Story (1964),7.0283234304289486e-15,USA,tt0057878,1964
3118,Smokey and the Bandit Part 3 (1983),6.748123992392652e-15,USA,tt0086325,1983
3119,Consenting Adults (1992),6.5799557198881306e-15,USA,tt0104006,1992
3120,The Remains of the Day (1993),6.525752469426284e-15,USA,tt0107943,1993
3121,Love and Death (1975),6.517185237977621e-15,USA,tt0073312,1975
3122,Sutorîto Faitâ II gekijô-ban (1994),6.467183591512792e-15,Japan,tt0114563,1994
3123,Street Fighter (1994),6.467168842205968e-15,"Japan,USA",tt1579705,1994
3124,Seconds (1966),6.287484810025681e-15,USA,tt0060955,1966
3125,The Parallax View (1974),6.281139315614583e-15,USA,tt0071970,1974
3126,Days of Heaven (1978),6.2805600982443566e-15,USA,tt0077405,1978
3127,Midnight Madness (1980),6.280560098244035e-15,USA,tt0081159,1980
3128,Pretty Woman (1990),6.230479873586848e-15,USA,tt0100405,1990
3129,Blank Check (1994),6.213843794120823e-15,USA,tt0109287,1994
3130,Nadja (1994),6.2028159392464446e-15,USA,tt0110620,1994
3131,Two-Lane Blacktop (1971),6.2028159392442255e-15,USA,tt0067893,1971
3132,The Ghost and Mrs. Muir (1947),6.201813403248892e-15,USA,tt0039420,1947
3133,Sabrina (1954),6.1847080871290045e-15,USA,tt0047437,1954
3134,"Dr. Black, Mr. Hyde (1976)",6.095751736025828e-15,USA,tt0074430,1976
3135,The Sand Pebbles (1966),6.09530505847293e-15,USA,tt0060934,1966
3136,Bedtime for Bonzo (1951),5.97682973028336e-15,USA,tt0043325,1951
3137,Nazi Concentration Camps (1945),5.967973606004673e-15,USA,tt0247568,1945
3138,If Looks Could Kill (1991),5.953524273863076e-15,USA,tt0102095,1991
3139,Attack of the Killer Tomatoes! (1978),5.65443964330322e-15,USA,tt0080391,1978
3140,Target Earth (1954),5.621293882896128e-15,USA,tt0047559,1954
3141,Rapa Nui (1994),5.621293882896128e-15,USA,tt0110944,1994
3142,Shaft's Big Score! (1972),5.595992063342485e-15,USA,tt0069257,1972
3143,Backdraft (1991),5.533568509536507e-15,USA,tt0101393,1991
3144,The Amityville Horror (1979),5.5302698516806065e-15,USA,tt0078767,1979
3145,GoldenEye (1995),5.381001529519273e-15,USA,tt0113189,1995
3146,Madman (1981),5.379509451997099e-15,USA,tt0082696,1981
3147,Captains Courageous (1937),5.3622507082128614e-15,USA,tt0028691,1937
3148,Tarzan Triumphs (1943),5.349158366845733e-15,USA,tt0036414,1943
3149,The Wedding Singer (1998),5.321639045144383e-15,USA,tt0120888,1998
3150,Patriot Games (1992),5.279461966730643e-15,USA,tt0105112,1992
3151,The Game (1997),5.255021701807134e-15,USA,tt16673588,1997
3152,Dekigokoro (1933),5.246106248099005e-15,Japan,tt0023937,1933
3153,A Boy Named Charlie Brown (1969),5.243272441773398e-15,USA,tt0064107,1969
3154,"Thelonious Monk: Straight, No Chaser (1988)",5.2279210084652204e-15,USA,tt0098465,1988
3155,The Brink's Job (1978),5.2279210084652204e-15,USA,tt0077275,1978
3156,Dumb and Dumber (1994),5.2271161283487086e-15,USA,tt0109686,1994
3157,Lost Highway (1997),5.223624572647221e-15,USA,tt0116922,1997
3158,Indecent Proposal (1993),5.217856815773601e-15,USA,tt0107211,1993
3159,The Ghost and Mr. Chicken (1966),5.216675650346847e-15,USA,tt0059221,1966
3160,Sabrina (1995),5.209361334058466e-15,USA,tt0114319,1995
3161,Blume in Love (1973),5.209361334058466e-15,USA,tt0069808,1973
3162,Indian Summer (1993),5.2063929223983636e-15,USA,tt0116631,1993
3163,Ricochet (1991),5.175426583853714e-15,USA,tt0102789,1991
3164,Sleepless in Seattle (1993),5.175270745397787e-15,USA,tt0108160,1993
3165,In Society (1944),5.1744881138394836e-15,USA,tt0036953,1944
3166,Romeo and Juliet (1933),5.147523040901017e-15,USA,tt0028203,1933
3167,Cat Ballou (1965),5.140165502072889e-15,USA,tt0059017,1965
3168,Mrs. Doubtfire (1993),4.9961329917814866e-15,USA,tt0107614,1993
3169,Mars Attacks! (1996),4.953773156254848e-15,USA,tt0116996,1996
3170,The Harvey Girls (1946),4.9465008538828744e-15,USA,tt0038589,1946
3171,Father's Little Dividend (1951),4.945690847884023e-15,USA,tt0043526,1951
3172,Houseboat (1958),4.945686399572653e-15,USA,tt0051745,1958
3173,Barfly (1987),4.919130922341172e-15,USA,tt0092618,1987
3174,The Erotic Adventures of Zorro (1972),4.898432935401033e-15,USA,tt0068545,1972
3175,Challenge to Be Free (1975),4.8984329353741075e-15,USA,tt0074299,1975
3176,Hard Target (1993),4.80045922233224e-15,USA,tt0107076,1993
3177,Good Guys Wear Black (1978),4.797030561886661e-15,USA,tt0079227,1978
3178,Demolition Man (1993),4.780579156627676e-15,USA,tt0106697,1993
3179,True Stories (1986),4.7762911909910475e-15,USA,tt0092117,1986
3180,Stranger Than Paradise (1984),4.763165435770721e-15,USA,tt0088184,1984
3181,Bottle Rocket (1994),4.761994587165566e-15,USA,tt0115734,1994
3182,Kingpin (1996),4.7212767141902215e-15,USA,tt0116778,1996
3183,Cabin Boy (1994),4.72127671418962e-15,USA,tt0109361,1994
3184,Prince Valiant (1954),4.716605526238131e-15,USA,tt0047365,1954
3185,Carlito's Way (1993),4.715239570002519e-15,USA,tt0106519,1993
3186,The Usual Suspects (1995),4.7054626986638906e-15,USA,tt0114814,1995
3187,Eyes Wide Shut (1999),4.6992870454116675e-15,USA,tt0120663,1999
3188,American Pie (1999),4.697600256252702e-15,USA,tt0163651,1999
3189,Norma Rae (1979),4.696171123886567e-15,USA,tt0079638,1979
3190,Saint Joan (1957),4.6939089146942564e-15,USA,tt0050928,1957
3191,Send Me No Flowers (1964),4.692330876744199e-15,USA,tt0058571,1964
3192,Ikiru (1952),4.68923861395757e-15,Japan,tt0044741,1952
3193,The Cable Guy (1996),4.6846302547177484e-15,USA,tt0115798,1996
3194,This Is the Army (1943),4.684371233343613e-15,USA,tt0036430,1943
3195,Bigger Than Life (1956),4.6843712333432965e-15,USA,tt0049010,1956
3196,The Ref (1994),4.684371233343285e-15,USA,tt0110955,1994
3197,Dodesukaden (1970),4.684371233343285e-15,Japan,tt0065649,1970
3198,The Borrower (1991),4.684371233343285e-15,USA,tt0101502,1991
3199,Cheetah (1989),4.666391682787991e-15,USA,tt0097053,1989
3200,The Power of One (1992),4.666391682787991e-15,USA,tt0105159,1992
3201,Konga (1961),4.656827820183904e-15,USA,tt0055058,1961
3202,Darling Lili (1970),4.656827820183446e-15,USA,tt0065611,1970
3203,The Conspirators (1944),4.656827820183438e-15,USA,tt0036719,1944
3204,Ministry of Fear (1944),4.6568278201834314e-15,USA,tt0037075,1944
3205,Cloak and Dagger (1946),4.6568278201834314e-15,USA,tt0038417,1946
3206,Music for Millions (1944),4.6568278201834314e-15,USA,tt0037104,1944
3207,Rhythm on the Range (1936),4.6568277111805595e-15,USA,tt0028178,1936
3208,Come and Get It (1936),4.6568277111805595e-15,USA,tt0027459,1936
3209,I Escaped from the Gestapo (1943),4.656827711180553e-15,USA,tt0036026,1943
3210,Flowing Gold (1940),4.656827711180553e-15,USA,tt0032481,1940
3211,Eraser (1996),4.637339544675496e-15,USA,tt0116213,1996
3212,L.A. Confidential (1997),4.601170786911408e-15,USA,tt0119488,1997
3213,101 Dalmatians (1996),4.5993481452127104e-15,USA,tt0115433,1996
3214,The Silencers (1966),4.599069848619178e-15,USA,tt0060980,1966
3215,Jingi naki tatakai (1973),4.591428097094073e-15,Japan,tt0070246,1973
3216,Romeo + Juliet (1996),4.588104210612358e-15,USA,tt0117509,1996
3217,Father of the Bride Part II (1995),4.5852515943023375e-15,USA,tt0113041,1995
3218,"Move Over, Darling (1963)",4.5852515942703745e-15,USA,tt0057329,1963
3219,"Corrina, Corrina (1994)",4.58525058425833e-15,USA,tt0109484,1994
3220,The Lion in Winter (1968),4.5852505841756396e-15,USA,tt0063227,1968
3221,Necessary Roughness (1991),4.572773108258279e-15,USA,tt0102517,1991
3222,Cocktail (1988),4.5722069773884515e-15,USA,tt0094889,1988
3223,Massacre at Central High (1976),4.565988343069366e-15,USA,tt0074875,1976
3224,Bustin' Loose (1981),4.56216907824394e-15,USA,tt0082121,1981
3225,Zorro: The Gay Blade (1981),4.562169078218794e-15,USA,tt0083366,1981
3226,The Cocoanuts (1929),4.562169078216575e-15,USA,tt0019777,1929
3227,Permanent Vacation (1980),4.562169078216414e-15,USA,tt0084488,1980
3228,Death Hunt (1981),4.5621690782164075e-15,"USA,Hong Kong",tt0082247,1981
3229,Randy (1980),4.5621690782164075e-15,USA,tt0080677,1980
3230,Mississippi (1935),4.5621690782164075e-15,USA,tt0026723,1935
3231,I Cover the Waterfront (1933),4.5621690782164075e-15,USA,tt0024151,1933
3232,On the Right Track (1981),4.5621690782164075e-15,USA,tt0082849,1981
3233,The Bonfire of the Vanities (1990),4.5458078983182834e-15,USA,tt0099165,1990
3234,No Way Out (1987),4.520522648557145e-15,USA,tt0093640,1987
3235,Missing in Action (1984),4.520512370238924e-15,USA,tt0087727,1984
3236,Maniac Cop (1988),4.520512310249391e-15,USA,tt0095583,1988
3237,Night of the Demons (1988),4.520512310185419e-15,USA,tt0093624,1988
3238,Lurking Fear (1994),4.5205123101850835e-15,USA,tt0110410,1994
3239,Universal Soldier (1992),4.506079009329605e-15,USA,tt0105698,1992
3240,Tenkû no shiro Rapyuta (1986),4.501302323914239e-15,Japan,tt0092067,1986
3241,Bottle Rocket (1996),4.496941596004978e-15,USA,tt0115734,1996
3242,The Patsy (1964),4.4831650425685184e-15,USA,tt0058456,1964
3243,The Errand Boy (1961),4.483165042565984e-15,USA,tt0054853,1961
3244,Star Trek V: The Final Frontier (1989),4.466788628767564e-15,USA,tt0098382,1989
3245,There's Something About Mary (1998),4.463473939239344e-15,USA,tt0129387,1998
3246,Born in East L.A. (1987),4.450049141384988e-15,USA,tt0092690,1987
3247,Tonari no Totoro (1988),4.448671388712561e-15,Japan,tt0096283,1988
3248,Final Exam (1981),4.443898826580838e-15,USA,tt0082378,1981
3249,American Beauty (1999),4.4391817486804915e-15,USA,tt0169547,1999
3250,The Lion King (1994),4.429164544718711e-15,USA,tt14571278,1994
3251,Love in the Afternoon (1957),4.4287340031885124e-15,USA,tt0050658,1957
3252,"Murder, Inc. (1960)",4.419514912082133e-15,USA,tt0054102,1960
3253,Broadway Rose (1922),4.419514911790482e-15,USA,tt0012979,1922
3254,Snake Eyes (1998),4.417999118811374e-15,USA,tt0162663,1998
3255,Glory (1989),4.417196161458582e-15,USA,tt0097441,1989
3256,Final Analysis (1992),4.415655070650488e-15,USA,tt0104265,1992
3257,The Exorcist III (1990),4.415121680392753e-15,USA,tt0099528,1990
3258,Butch and Sundance: The Early Days (1979),4.4151216656182046e-15,USA,tt0078919,1979
3259,The Anderson Tapes (1971),4.4150515321859576e-15,USA,tt0066767,1971
3260,Demetrius and the Gladiators (1954),4.414628912681602e-15,USA,tt0046899,1954
3261,Iceman (1984),4.414548864985254e-15,USA,tt0087452,1984
3262,Eegah (1962),4.414473972067172e-15,USA,tt0055946,1962
3263,Can que shuang xiong (1980),4.414473972027902e-15,Taiwan,tt0122028,1980
3264,Shu shi shen chuan (1981),4.414473972027902e-15,Taiwan,tt0089692,1981
3265,Ye bao (1984),4.414473972027896e-15,"Taiwan,South Korea",tt0202108,1984
3266,Hong yi la ma (1979),4.414473972027896e-15,"Taiwan,Hong Kong",tt0201093,1979
3267,Gan jin sha jue (1973),4.414473972027896e-15,Hong Kong,tt0187048,1973
3268,Champions Forever (1989),4.414473972027896e-15,USA,tt0097042,1989
3269,"Fist of Fear, Touch of Death (1980)",4.414473972027896e-15,"Hong Kong,USA",tt0080741,1980
3270,The Mambo Kings (1992),4.414473321824101e-15,USA,tt0104802,1992
3271,Batman: The Movie (1966),4.4144732634045875e-15,USA,tt0060153,1966
3272,8 Million Ways to Die (1986),4.414473263367757e-15,USA,tt0090568,1986
3273,The Shootist (1976),4.414473258803384e-15,USA,tt0075213,1976
3274,Kickboxer (1989),4.414473254876752e-15,USA,tt0097659,1989
3275,Journey to the Center of the Earth (1959),4.414473253512176e-15,USA,tt0052948,1959
3276,Code of Silence (1985),4.4144732534715815e-15,USA,tt0088936,1985
3277,The Immoral Mr. Teas (1959),4.414473252767075e-15,USA,tt0052920,1959
3278,One from the Heart (1981),4.414473252762006e-15,USA,tt0084445,1981
3279,Escape Me Never (1947),4.4144732527353905e-15,USA,tt0039357,1947
3280,U2: Rattle and Hum (1988),4.4144732527353834e-15,USA,tt0096328,1988
3281,Fei lung mang jeung (1988),4.41447325273508e-15,Hong Kong,tt0093015,1988
3282,Phantom of the Rue Morgue (1954),4.414473252735073e-15,USA,tt0047348,1954
3283,Tiger Shark (1932),4.414473252735073e-15,USA,tt0023594,1932
3284,54 (1998),4.399286466938548e-15,USA,tt0120577,1998
3285,The Parent Trap (1998),4.3992857010167775e-15,USA,tt0120783,1998
3286,EverAfter (1998),4.399285498397684e-15,USA,tt0120631,1998
3287,The Negotiator (1998),4.399285498317372e-15,USA,tt0120768,1998
3288,Virtuosity (1995),4.39928549831498e-15,USA,tt0114857,1995
3289,Why Do Fools Fall in Love (1998),4.39928549831498e-15,USA,tt0123324,1998
3290,Next Stop Wonderland (1998),4.399285498314974e-15,USA,tt0119778,1998
3291,Return to Paradise (1998),4.399285498314974e-15,USA,tt0124595,1998
3292,Your Friends & Neighbors (1998),4.399285498314974e-15,USA,tt0119517,1998
3293,Jerry Maguire (1996),4.392970780680379e-15,USA,tt0116695,1996
3294,The King of Comedy (1982),4.388150997893075e-15,USA,tt0085794,1982
3295,Four Rooms (1995),4.373200011722068e-15,USA,tt0113101,1995
3296,Blacula (1972),4.373137807255255e-15,USA,tt0068284,1972
3297,Maniac Cop 2 (1990),4.3729821451959096e-15,USA,tt0100107,1990
3298,Night of the Demons 2 (1994),4.372982145195592e-15,USA,tt0110667,1994
3299,Hot Shots! Part Deux (1993),4.372982145195592e-15,USA,tt0107144,1993
3300,Up! (1976),4.372982145195586e-15,USA,tt0075376,1976
3301,Where the Buffalo Roam (1980),4.3713214769939484e-15,USA,tt0081748,1980
3302,Shampoo (1975),4.362715322804494e-15,USA,tt0073692,1975
3303,Six-String Samurai (1998),4.361418766049015e-15,USA,tt0118736,1998
3304,Woman of the Year (1942),4.3562879358949635e-15,USA,tt0035567,1942
3305,North (1994),4.3562879230733145e-15,USA,tt0110687,1994
3306,Short Eyes (1977),4.3562863742488974e-15,USA,tt0076706,1977
3307,The Fan (1981),4.356286374224351e-15,USA,tt0082362,1981
3308,The Babe Ruth Story (1948),4.356286374197425e-15,USA,tt0040142,1948
3309,36 Hours (1964),4.338702240616407e-15,USA,tt0057809,1964
3310,Mononoke-hime (1997),4.319782174605381e-15,Japan,tt0119698,1997
3311,The Insider (1999),4.309295204995755e-15,USA,tt0140352,1999
3312,Foxy Brown (1974),4.307174294165365e-15,USA,tt0071517,1974
3313,From Dusk Till Dawn (1996),4.299315346498619e-15,USA,tt0116367,1996
3314,Across 110th Street (1972),4.2941892932095774e-15,USA,tt0068168,1972
3315,Hamlet (1996),4.293505059353437e-15,USA,tt0116477,1996
3316,Sharky's Machine (1981),4.292067520662019e-15,USA,tt0083064,1981
3317,The American President (1995),4.292067261019725e-15,USA,tt0112346,1995
3318,Dirty Mary Crazy Larry (1974),4.292066941479183e-15,USA,tt0071424,1974
3319,A Time to Kill (1996),4.292066939266162e-15,USA,tt0117913,1996
3320,TNT Jackson (1974),4.292066937235893e-15,USA,tt0072245,1974
3321,The Fan (1996),4.292066937232622e-15,USA,tt0116277,1996
3322,The Friends of Eddie Coyle (1973),4.292066937232602e-15,USA,tt0070077,1973
3323,Stick (1985),4.292066937232311e-15,USA,tt0090073,1985
3324,Iron Maze (1991),4.2920669372322974e-15,"Japan,USA",tt0102128,1991
3325,Superchick (1973),4.2920669372322974e-15,USA,tt0070752,1973
3326,The Hunter (1980),4.2920669372322974e-15,USA,tt0080907,1980
3327,"'Sheba, Baby' (1975)",4.2920669372322974e-15,USA,tt0073697,1975
3328,The Teahouse of the August Moon (1956),4.2859699656244155e-15,USA,tt0049830,1956
3329,Criss Cross (1949),4.26687097659542e-15,USA,tt0041268,1949
3330,Gladiator (2000),4.26212626555557e-15,USA,tt0172495,2000
3331,Jackie Brown (1997),4.261858003110995e-15,USA,tt0119396,1997
3332,The Trouble with Angels (1966),4.260187969671504e-15,USA,tt0061122,1966
3333,The Gay Falcon (1941),4.253264621346187e-15,USA,tt0033650,1941
3334,Heat (1995),4.250631319170652e-15,USA,tt0113277,1995
3335,Sister Act (1992),4.248426748795065e-15,USA,tt0105417,1992
3336,Where Angels Go Trouble Follows! (1968),4.248426748792337e-15,USA,tt0063800,1968
3337,Out of Sight (1998),4.24809697183813e-15,USA,tt0120780,1998
3338,Year of the Dragon (1985),4.247923168161077e-15,USA,tt0090350,1985
3339,High School (1969),4.247856195421715e-15,USA,tt0064429,1969
3340,Daisy Miller (1974),4.247856195421715e-15,USA,tt0071385,1974
3341,Kidnapped (1960),4.247856195421709e-15,USA,tt1364238,1960
3342,Heaven & Earth (1993),4.247856195421709e-15,USA,tt0107096,1993
3343,Hell Is for Heroes (1962),4.247856195421709e-15,USA,tt0056062,1962
3344,Loving (1970),4.246953393113689e-15,USA,tt0066017,1970
3345,Sister Act 2: Back in the Habit (1993),4.243448771203222e-15,USA,tt0108147,1993
3346,The Picture of Dorian Gray (1945),4.2431946533078675e-15,USA,tt0037988,1945
3347,Rushmore (1998),4.2431127812239626e-15,USA,tt0128445,1998
3348,The Ice Storm (1997),4.242898528943139e-15,USA,tt0119349,1997
3349,The Cider House Rules (1999),4.242734261180519e-15,USA,tt0124315,1999
3350,Mulan (1998),4.241498466120729e-15,USA,tt14144488,1998
3351,All Fall Down (1962),4.240462307526631e-15,USA,tt0055738,1962
3352,Bus Riley's Back in Town (1965),4.240462307526488e-15,USA,tt0058998,1965
3353,Waterloo Bridge (1940),4.2404623075264815e-15,USA,tt0033238,1940
3354,Son of Fury: The Story of Benjamin Blake (1942),4.2404623075264815e-15,USA,tt0035360,1942
3355,Against All Flags (1952),4.2404623075264815e-15,USA,tt0044333,1952
3356,Silver Dollar (1932),4.240462307526475e-15,USA,tt0023472,1932
3357,Wonder Boys (2000),4.240462015726741e-15,"USA,Japan",tt0185014,2000
3358,Thor (2011),4.24046188352298e-15,USA,tt0800369,2011
3359,Captain America: The First Avenger (2011),4.240461872504619e-15,USA,tt0458339,2011
3360,Iron Man 2 (2010),4.24046184391147e-15,USA,tt1228705,2010
3361,Quinceañera (2006),4.240461698315938e-15,USA,tt0451176,2006
3362,EPCOT (1967),4.240461535231919e-15,USA,tt0302518,1967
3363,House of Wax (2005),4.240460783308089e-15,USA,tt0397065,2005
3364,Kicking & Screaming (2005),4.2404607833031556e-15,USA,tt0384642,2005
3365,The Lord of the Rings: The Two Towers (2002),4.240456807889586e-15,USA,tt0167261,2002
3366,Mary of Scotland (1936),4.2404412941144915e-15,USA,tt0027948,1936
3367,Ivanhoe (1952),4.240441293875044e-15,USA,tt0044760,1952
3368,Zatoichi tekka tabi (1967),4.1487532554112076e-15,Japan,tt0186725,1967
3369,Wong Fei Hung III: Si wong jaang ba (1993),4.115441510123862e-15,Hong Kong,tt0108592,1993
3370,Revenge of the Nerds (1984),4.114111842307141e-15,USA,tt0088000,1984
3371,Darkman (1990),4.024702130674843e-15,USA,tt0099365,1990
3372,Xtro (1982),3.996491732374947e-15,USA,tt0086610,1982
