,Film,Betweenness Centrality,Country,tconst,Year
2280,The Sentinel (1977),2.064372589606067e-06,USA,tt0076683,1977
2281,Mamma Mia! (2008),2.060609824590428e-06,USA,tt13399184,2008
2282,TMNT (2007),2.058777044669987e-06,"Hong Kong,USA",tt0453556,2007
2283,The Love Bug (1968),2.054207357479794e-06,USA,tt0064603,1968
2284,Jackass: The Movie (2002),2.051557512319911e-06,USA,tt0322802,2002
2285,Smokey and the Bandit II (1980),2.046636028050159e-06,USA,tt0081529,1980
2286,Windtalkers (2002),2.0460099698731805e-06,USA,tt0245562,2002
2287,The Blob (1988),2.0434515716063606e-06,USA,tt0094761,1988
2288,Kelly's Heroes (1970),2.041000689872157e-06,USA,tt0065938,1970
2289,Coffy (1973),2.0389025241349793e-06,USA,tt0069897,1973
2290,Earth vs the Spider (1958),2.0363344330425848e-06,USA,tt0051570,1958
2291,RiffTrax Live: Jack the Giant Killer (2011),2.034535808226252e-06,USA,tt2183072,2011
2292,Mindwarp (1992),2.0344009504517517e-06,USA,tt0100152,1992
2293,Presumed Innocent (1990),2.0315922867958903e-06,USA,tt0100404,1990
2294,Where Angels Go Trouble Follows! (1968),2.0274851418794415e-06,USA,tt0063800,1968
2295,Putney Swope (1969),2.0265412633242907e-06,USA,tt0064855,1969
2296,Dream a Little Dream (1989),2.02448362541519e-06,USA,tt0097236,1989
2297,Excalibur (1981),2.0228912657305512e-06,USA,tt0082348,1981
2298,Kidô senshi Gundam F91 (1991),2.020253516860293e-06,Japan,tt0159568,1991
2299,The Man Who Would Be King (1975),2.0188387735011475e-06,USA,tt0073341,1975
2300,Slaughter High (1986),2.015504021297446e-06,USA,tt0091969,1986
2301,Assault on Precinct 13 (1976),2.0151260833397384e-06,USA,tt0074156,1976
2302,The League of Extraordinary Gentlemen (2003),2.011029344525653e-06,USA,tt0311429,2003
2303,2046 (2004),2.0107275782420443e-06,"Hong Kong,China",tt0212712,2004
2304,The Holiday (2006),2.0091207461791166e-06,USA,tt0457939,2006
2305,RED (2010),2.008797770309287e-06,USA,tt2776528,2010
2306,King Kong (2005),2.006120156798765e-06,USA,tt0360717,2005
2307,Think Like a Man (2012),2.0032765965505432e-06,USA,tt1621045,2012
2308,Powaqqatsi (1988),2.0028466615556844e-06,USA,tt0095895,1988
2309,The King of Kong (2007),2.0016014423385654e-06,USA,tt0923752,2007
2310,The Wheeler Dealers (1963),1.997617623113959e-06,USA,tt0057681,1963
2311,San daikaijû: Chikyû saidai no kessen (1964),1.9973905314000234e-06,Japan,tt0058544,1964
2312,The Accidental Tourist (1988),1.9965200390596534e-06,USA,tt0094606,1988
2313,Body Shots (1999),1.993654004483616e-06,USA,tt0172627,1999
2314,Scary Movie 5 (2013),1.993541691989671e-06,USA,tt0795461,2013
2315,Rocktober Blood (1984),1.99138230176102e-06,USA,tt0176097,1984
2316,Doc Hollywood (1991),1.991257569385469e-06,USA,tt0101745,1991
2317,Surf's Up (2007),1.9853323645167354e-06,USA,tt0423294,2007
2318,Soul Plane (2004),1.983104895986655e-06,USA,tt0367085,2004
2319,The Boys: The Sherman Brothers' Story (2009),1.9767636323128356e-06,USA,tt1015971,2009
2320,Bee Movie (2007),1.969284739200749e-06,USA,tt0389790,2007
2321,Porkchop (2010),1.9664932692127503e-06,USA,tt1720198,2010
2322,Exit Wounds (2001),1.965544934578005e-06,USA,tt0242445,2001
2323,The Hitchhiker's Guide to the Galaxy (2005),1.960975118687624e-06,USA,tt0371724,2005
2324,Minions (2015),1.95933606888319e-06,USA,tt2293640,2015
2325,Near Dark (1987),1.958797889006054e-06,USA,tt0093605,1987
2326,That's Entertainment! (1974),1.957411964221662e-06,USA,tt0072272,1974
2327,Jawbreaker (1999),1.9571084705669563e-06,USA,tt0155776,1999
2328,Scarewaves (2014),1.954553649496692e-06,USA,tt3666644,2014
2329,War (2007),1.9521758339212716e-06,USA,tt0499556,2007
2330,Westworld (1973),1.951361908536183e-06,USA,tt0070909,1973
2331,Judgment at Nuremberg (1961),1.949516348903e-06,USA,tt0055031,1961
2332,Monsoon Wedding (2001),1.949102031204964e-06,USA,tt0265343,2001
2333,Stranger Than Paradise (1984),1.9446808352211656e-06,USA,tt0088184,1984
2334,Rocky IV (1985),1.944017376203463e-06,USA,tt0089927,1985
2335,The Nutty Professor (1963),1.9316249455220645e-06,USA,tt0057372,1963
2336,It's Alive III: Island of the Alive (1987),1.9277803891267897e-06,USA,tt0093286,1987
2337,The Jazz Singer (1927),1.9205369421711426e-06,USA,tt0018037,1927
2338,There Was a Little Girl (1981),1.916884992599078e-06,USA,tt3977430,1981
2339,The Talented Mr. Ripley (1999),1.9130170160805952e-06,USA,tt0134119,1999
2340,Legend (1985),1.9124597491299483e-06,USA,tt0089469,1985
2341,Eternal Sunshine of the Spotless Mind (2004),1.909597254451856e-06,USA,tt0338013,2004
2342,Before Sunset (2004),1.907545629248339e-06,USA,tt0381681,2004
2343,Arthur Christmas (2011),1.9062450000494217e-06,USA,tt1430607,2011
2344,Prison (1987),1.905623491900385e-06,USA,tt0095904,1987
2345,Porky's (1981),1.9055406230094363e-06,USA,tt0084522,1981
2346,Double Jeopardy (1999),1.9046139983137407e-06,USA,tt0150377,1999
2347,Bad Lieutenant (1992),1.9007995142705891e-06,USA,tt0103759,1992
2348,Saw V (2008),1.900690301963825e-06,USA,tt1132626,2008
2349,Hellzapoppin' (1941),1.900076085822455e-06,USA,tt0033704,1941
2350,102 Dalmatians (2000),1.8984707097608406e-06,USA,tt0211181,2000
2351,The Bare Wench Project (2000),1.897767057887386e-06,USA,tt0233289,2000
2352,The Dirty Dozen (1967),1.897165838817934e-06,USA,tt0061578,1967
2353,The Boys in the Band (1970),1.895578186560292e-06,USA,tt0065488,1970
2354,Flatliners (1990),1.8954726932513685e-06,USA,tt0099582,1990
2355,Brewster's Millions (1985),1.8942644099280592e-06,USA,tt0088850,1985
2356,Predators from Beyond Neptune (1999),1.8889181750195853e-06,USA,tt0119936,1999
2357,Elvira: Mistress of the Dark (1988),1.8881126279382528e-06,USA,tt0095088,1988
2358,Cop Land (1997),1.887296478605258e-06,USA,tt0118887,1997
2359,Gekijouban Blood-C: The Last Dark (2012),1.8844381543822906e-06,Japan,tt1941466,2012
2360,Guardian of the Realm (2004),1.8844381543822901e-06,USA,tt0361679,2004
2361,Why Did I Get Married? (2007),1.8838722570386314e-06,USA,tt0906108,2007
2362,Fly Away Home (1996),1.883422484386449e-06,USA,tt0116329,1996
2363,Clash of the Titans (1981),1.8805275738359264e-06,USA,tt0082186,1981
2364,Stigmata (1999),1.8711232368786283e-06,USA,tt0145531,1999
2365,In the Mouth of Madness (1994),1.871042336895004e-06,USA,tt0113409,1994
2366,The Hills Have Eyes (2006),1.8660299352118972e-06,USA,tt0454841,2006
2367,We're Back! A Dinosaur's Story (1993),1.8642287755556123e-06,USA,tt0108526,1993
2368,Cold Hearts (1999),1.8617708218946426e-06,USA,tt0156417,1999
2369,Sweet Sweetback's Baadasssss Song (1971),1.8605269891642469e-06,USA,tt0067810,1971
2370,City Slickers (1991),1.8530241511748769e-06,USA,tt0101587,1991
2371,Hostage (2002),1.8504843137627894e-06,USA,tt0340163,2002
2372,X-Men Origins: Wolverine (2009),1.8502286443234806e-06,USA,tt0458525,2009
2373,The Purge: Anarchy (2014),1.8451332970877167e-06,USA,tt2975578,2014
2374,McKenna Shoots for the Stars (2012),1.8377516235304768e-06,USA,tt1969175,2012
2375,Get Over It (2001),1.834392117767363e-06,USA,tt0192071,2001
2376,Baraka (1992),1.8341398547151521e-06,USA,tt0103767,1992
2377,The Sting (1973),1.8319421029643758e-06,USA,tt0070735,1973
2378,Film Geek (2005),1.8308570261430625e-06,USA,tt0443506,2005
2379,Universal Soldier: The Return (1999),1.830229904671018e-06,USA,tt0176269,1999
2380,Fantastic Mr. Fox (2009),1.8298758772764744e-06,USA,tt0432283,2009
2381,Shin yôjo densetsu: seirên (2004),1.8264336766573098e-06,Japan,tt0468862,2004
2382,Tenacious D in The Pick of Destiny (2006),1.826071794658036e-06,USA,tt0365830,2006
2383,Johnny Suede (1991),1.8223465499903588e-06,USA,tt0104567,1991
2384,Kiss of the Spider Woman (1985),1.821185000318143e-06,USA,tt0089424,1985
2385,Shiryô no wana (1988),1.8207747032207267e-06,Japan,tt0167147,1988
2386,Earth (2007),1.8193599598615808e-06,USA,tt0393597,2007
2387,Big Fat Liar (2002),1.81758354389941e-06,USA,tt0265298,2002
2388,Airheads (1994),1.8156292432681568e-06,USA,tt0109068,1994
2389,Fandango (1985),1.8146811354189135e-06,USA,tt0089126,1985
2390,Hellraiser III: Hell on Earth (1992),1.8146730473376065e-06,USA,tt0104409,1992
2391,Maverick (1994),1.8142659020585322e-06,USA,tt0110478,1994
2392,National Treasure (2004),1.813525280355016e-06,USA,tt0368891,2004
2393,Not of This Earth (1988),1.8123063857366397e-06,USA,tt0095756,1988
2394,Escape from Planet Earth (2013),1.81176788555968e-06,USA,tt0765446,2013
2395,Let's Make Love (1960),1.8094567563475595e-06,USA,tt0054022,1960
2396,Virtual Encounters (1996),1.809456756347559e-06,USA,tt0118088,1996
2397,The Expendables 3 (2014),1.8080636131757315e-06,USA,tt2333784,2014
2398,Nemesis (1992),1.8080420129884136e-06,USA,tt0107668,1992
2399,A Final Hit (2015),1.8060905654025443e-06,USA,tt3764048,2015
2400,American History X (1998),1.8015134079129491e-06,USA,tt0120586,1998
2401,Serenity (2005),1.7984978055095765e-06,USA,tt0379786,2005
2402,Cats Don't Dance (1997),1.7972911217597125e-06,USA,tt0118829,1997
2403,Little Darlings (1980),1.797115578162896e-06,USA,tt0081060,1980
2404,Cannonball Run II (1984),1.797004366294093e-06,"Hong Kong,USA",tt0087032,1984
2405,Disturbing Behavior (1998),1.7959010504997791e-06,USA,tt0134619,1998
2406,Score (1995),1.795309322756101e-06,Japan,tt0114364,1995
2407,Debbie Does 'em All (1985),1.7932097149980961e-06,USA,tt0124351,1985
2408,In Bruges (2008),1.7904398403879162e-06,USA,tt0780536,2008
2409,Blood Hook (1986),1.7903105628871186e-06,USA,tt0090750,1986
2410,Longtime Companion (1989),1.7901174548941403e-06,USA,tt0100049,1989
2411,Kaboom (2010),1.7882356059603714e-06,USA,tt1523483,2010
2412,Journey to the Center of the Earth (2008),1.786344205125301e-06,USA,tt0373051,2008
2413,Final Analysis (1992),1.7858922105500946e-06,USA,tt0104265,1992
2414,Happiness (1998),1.784750790669594e-06,USA,tt0147612,1998
2415,Mission: Impossible III (2006),1.7817918057421263e-06,"USA,China",tt0317919,2006
2416,Straight Time (1978),1.7808999917303254e-06,USA,tt0078326,1978
2417,Can que shuang xiong (1980),1.7797471458054963e-06,Taiwan,tt0122028,1980
2418,Wages of Sin (2007),1.7797471458054963e-06,USA,tt0825342,2007
2419,Vice Versa (1988),1.7796764951049424e-06,USA,tt0096380,1988
2420,Demetrius and the Gladiators (1954),1.7769176590872047e-06,USA,tt0046899,1954
2421,That's My Boy (1951),1.7686767162055134e-06,USA,tt0044119,1951
2422,Bewitched (2005),1.7685919759853252e-06,USA,tt0374536,2005
2423,Dogfight (1991),1.7684291989323295e-06,USA,tt0101748,1991
2424,An Unmarried Woman (1978),1.7678576680828873e-06,USA,tt0078444,1978
2425,Wendigo (2001),1.7665013814393636e-06,USA,tt0275067,2001
2426,The Decline of Western Civilization (1981),1.7663183120155088e-06,USA,tt0082252,1981
2427,April Fool's Day (1986),1.7645691174714385e-06,USA,tt0090655,1986
2428,The Santa Clause 2 (2002),1.7622958163303546e-06,USA,tt0304669,2002
2429,A Fish Called Wanda (1988),1.7609165774688694e-06,USA,tt0095159,1988
2430,Tom yum goong (2005),1.7538854495572904e-06,"USA,Hong Kong",tt0427954,2005
2431,Ultrachrist! (2003),1.7457933051859956e-06,USA,tt0358236,2003
2432,Kickboxer 2: The Road Back (1991),1.7450859335064227e-06,USA,tt0102202,1991
2433,The Big Picture (1989),1.7434801197050909e-06,USA,tt0096926,1989
2434,An American Tail (1986),1.7413021162636077e-06,USA,tt0090633,1986
2435,Down and Out in Beverly Hills (1986),1.7388932149451295e-06,USA,tt0090966,1986
2436,Zodiac (2007),1.7337679866332557e-06,USA,tt0443706,2007
2437,Starship Troopers: Invasion (2012),1.733060614953683e-06,"Japan,USA",tt2085930,2012
2438,The Salton Sea (2002),1.731862490286362e-06,USA,tt0235737,2002
2439,The Country Bears (2002),1.7309620789709497e-06,USA,tt0276033,2002
2440,Talk Radio (1988),1.7247485709527202e-06,USA,tt0096219,1988
2441,Harold & Kumar Escape from Guantanamo Bay (2008),1.7238344231444174e-06,USA,tt0481536,2008
2442,Manhattan (1979),1.7167173024003782e-06,USA,tt0079522,1979
2443,The Full Monty (1997),1.7146394747166628e-06,USA,tt0119164,1997
2444,"Mary, Mary (1963)",1.7143158518929663e-06,USA,tt0057293,1963
2445,Corpse Bride (2005),1.7139615796052136e-06,USA,tt0121164,2005
2446,Flubber (1997),1.7075485877793986e-06,USA,tt0119137,1997
2447,Project X (2012),1.7061804911299115e-06,USA,tt1773635,2012
2448,Gone with the Wind (1939),1.7055383176288896e-06,USA,tt0031381,1939
2449,Cinderella (1950),1.7030534325593487e-06,USA,tt0042332,1950
2450,Agent Cody Banks (2003),1.701547072102971e-06,USA,tt0313911,2003
2451,Horrible Bosses (2011),1.6994891681411831e-06,USA,tt1499658,2011
2452,Zorro: The Gay Blade (1981),1.693878807667728e-06,USA,tt0083366,1981
2453,Pride & Prejudice (2005),1.6920238198563458e-06,USA,tt0414387,2005
2454,Poultrygeist: Night of the Chicken Dead (2006),1.6912713981048062e-06,USA,tt0462485,2006
2455,Critters 2 (1988),1.6881471910306062e-06,USA,tt0094919,1988
2456,Sphere (1998),1.6854678708527673e-06,USA,tt0120184,1998
2457,"Play It Again, Sam (1972)",1.6817980554525777e-06,USA,tt0069097,1972
2458,Glitch! (1988),1.6775689909094711e-06,USA,tt0095222,1988
2459,Mannequin (1987),1.6700426170248905e-06,USA,tt0093493,1987
2460,Madagascar: Escape 2 Africa (2008),1.666061299089356e-06,USA,tt0479952,2008
2461,Agent Cody Banks 2: Destination London (2004),1.6607602539963998e-06,USA,tt0358349,2004
2462,Trois (2000),1.6601513668152251e-06,USA,tt0217107,2000
2463,Urusei Yatsura 1: Onri yû (1983),1.6571316262454288e-06,Japan,tt0086520,1983
2464,The Master Gunfighter (1975),1.6566792467845275e-06,USA,tt0073357,1975
2465,"Silent Night, Deadly Night 2 (1987)",1.656584474692369e-06,USA,tt0093974,1987
2466,Mr. Destiny (1990),1.6558180602067349e-06,USA,tt0100201,1990
2467,Hotel for Dogs (2009),1.6556775216449734e-06,USA,tt0785006,2009
2468,Task Force (1949),1.6553578028368886e-06,USA,tt0041948,1949
2469,Air America (1990),1.6536020266610051e-06,USA,tt0099005,1990
2470,Zack and Miri Make a Porno (2008),1.6504610886988555e-06,USA,tt1007028,2008
2471,Mrs. Death (1999),1.6495907567640773e-06,USA,tt0196768,1999
2472,Halloween III: Season of the Witch (1982),1.6481062202499963e-06,USA,tt0085636,1982
2473,Hollow Point (1996),1.6476872838808626e-06,USA,tt0113313,1996
2474,99 River Street (1953),1.6447806293429808e-06,USA,tt0045465,1953
2475,Ging chaat goo si III: Chiu kup ging chaat (1992),1.6441100226460708e-06,Hong Kong,tt0104558,1992
2476,American Splendor (2003),1.6436890493730162e-06,USA,tt0305206,2003
2477,Almost Normal (2005),1.6428471467521486e-06,USA,tt0466669,2005
2478,Dreamcatcher (2003),1.6414848012951932e-06,USA,tt0285531,2003
2479,Romeo Must Die (2000),1.640836262026484e-06,USA,tt0165929,2000
2480,Mickey Blue Eyes (1999),1.640391217825005e-06,USA,tt0130121,1999
2481,Bullets Over Broadway (1994),1.638551701097394e-06,USA,tt0109348,1994
2482,Ai qing wan sui (1994),1.6368580665317642e-06,Taiwan,tt0109066,1994
2483,Coneheads (1993),1.636416797931825e-06,USA,tt0106598,1993
2484,Ernest Goes to Camp (1987),1.6360881288412852e-06,USA,tt0092974,1987
2485,House of Horrors (1946),1.6340259887084187e-06,USA,tt0038621,1946
2486,Xin du bi dao (1971),1.6333212081338993e-06,Hong Kong,tt0069518,1971
2487,Space Cowboys (2000),1.6329006458520226e-06,USA,tt0186566,2000
2488,Chûshingura (1962),1.6326138364543265e-06,Japan,tt0055850,1962
2489,Edward Scissorhands (1990),1.632554964248687e-06,USA,tt0099487,1990
2490,Without Warning (1980),1.6321928651457234e-06,USA,tt0081764,1980
2491,Tarzan's Greatest Adventure (1959),1.6320243600546824e-06,USA,tt0053334,1959
2492,The War of the Roses (1989),1.631841008541183e-06,USA,tt0098621,1989
2493,To Die For (1995),1.6310215356584396e-06,USA,tt0114681,1995
2494,Stick It (2006),1.6252965256079055e-06,USA,tt0430634,2006
2495,House (1985),1.619619434588987e-06,USA,tt0091223,1985
2496,Saw III (2006),1.6187971449219868e-06,USA,tt0489270,2006
2497,U2: PopMart Live from Mexico City (1997),1.6187021934227252e-06,USA,tt0275011,1997
2498,Pitch Perfect 2 (2015),1.6166977050485788e-06,USA,tt2848292,2015
2499,Death Hunt (1981),1.6142221727854303e-06,"USA,Hong Kong",tt0082247,1981
2500,Platoon (1986),1.6128108704011574e-06,USA,tt0091763,1986
2501,Oblivion (1994),1.6099779427079928e-06,USA,tt0331301,1994
2502,The Rocker (2008),1.6073987649360953e-06,USA,tt1031969,2008
2503,Avalon (2001),1.607148455989701e-06,Japan,tt0267287,2001
2504,Zardoz (1974),1.6049488005008017e-06,USA,tt0070948,1974
2505,Mildred Pierce (1945),1.6034591737079122e-06,USA,tt0037913,1945
2506,Frankenhooker (1990),1.6016399649050094e-06,USA,tt0099611,1990
2507,Mary Horror (2011),1.598659995834826e-06,USA,tt2104060,2011
2508,Life Stinks (1991),1.5960590474856885e-06,USA,tt0102303,1991
2509,The Black Dahlia (2006),1.5925096193248687e-06,USA,tt0387877,2006
2510,Meatballs 4 (1992),1.5920578601588117e-06,USA,tt0104837,1992
2511,Attack of the Killer Tomatoes! (1978),1.591242175286415e-06,USA,tt0080391,1978
2512,Arachnophobia (1990),1.5907604153402503e-06,USA,tt0099052,1990
2513,The Defiant Ones (1958),1.5876153613979066e-06,USA,tt0051525,1958
2514,The Sea Hawk (1940),1.5850745022629424e-06,USA,tt0033028,1940
2515,Hard Ball (2001),1.5789778086474339e-06,USA,tt0180734,2001
2516,Salinui chueok (2003),1.5767567370423353e-06,South Korea,tt0353969,2003
2517,Beanstalk (1994),1.5751022732806674e-06,USA,tt0109227,1994
2518,Blue Sunshine (1977),1.5743944069355851e-06,USA,tt0074226,1977
2519,Samurai Cop 2: Deadly Vengeance (2015),1.5703651286519085e-06,USA,tt3398252,2015
2520,Takedown (2000),1.5675356419336167e-06,USA,tt0159784,2000
2521,Silk Stockings (1957),1.5669593108118834e-06,USA,tt0050972,1957
2522,The Ninth Gate (1999),1.563943488602762e-06,USA,tt0142688,1999
2523,The Hours (2002),1.5590411135512132e-06,USA,tt0274558,2002
2524,Wonderland (2003),1.555805734067144e-06,USA,tt0335563,2003
2525,Dominion: Prequel to the Exorcist (2005),1.5523815672720686e-06,USA,tt0449086,2005
2526,Horse Feathers (1932),1.551947643997627e-06,USA,tt0023027,1932
2527,Drive (1997),1.548503767759516e-06,USA,tt0116147,1997
2528,The Legend of Billie Jean (1985),1.544899748187283e-06,USA,tt0089470,1985
2529,Scooby-Doo 2: Monsters Unleashed (2004),1.5448576034125678e-06,USA,tt0331632,2004
2530,Frankenstein (1931),1.5413859579194078e-06,USA,tt0021884,1931
2531,Grizzly (1976),1.5411979774995846e-06,USA,tt0074593,1976
2532,Paranormal Activity 3 (2011),1.5405602244706725e-06,USA,tt1778304,2011
2533,Amadeus (1984),1.539897721955567e-06,USA,tt0086879,1984
2534,Tenkû no shiro Rapyuta (1986),1.5364326896084501e-06,Japan,tt0092067,1986
2535,Lean on Me (1989),1.535691845574576e-06,USA,tt0097722,1989
2536,Hype! (1996),1.5318470564808779e-06,USA,tt0116589,1996
2537,I Hate Valentine's Day (2009),1.5312957812141457e-06,USA,tt0762105,2009
2538,EuroTrip (2004),1.5291105445788801e-06,USA,tt0356150,2004
2539,The Rundown (2003),1.5290709522736884e-06,USA,tt0327850,2003
2540,Cabaret (1972),1.5282175026853454e-06,USA,tt0068327,1972
2541,Bottle Rocket (1994),1.5265080845183867e-06,USA,tt0115734,1994
2542,Cloudy with a Chance of Meatballs (2009),1.525740501053657e-06,USA,tt0844471,2009
2543,Who Killed the Electric Car? (2006),1.524975445879312e-06,USA,tt0489037,2006
2544,Sex and the City (2008),1.5165577300422475e-06,USA,tt1000774,2008
2545,Factotum (2005),1.5151901376452195e-06,USA,tt0417658,2005
2546,The Blue Lagoon (1980),1.51466552524208e-06,USA,tt0080453,1980
2547,Ma and Pa Kettle (1949),1.5138037708123261e-06,USA,tt0041613,1949
2548,Lung gam wai 2003 (2003),1.513009388983965e-06,Hong Kong,tt0379878,2003
2549,Necromentia (2009),1.5122587483003566e-06,USA,tt1286765,2009
2550,Children of a Lesser God (1986),1.5116871317685952e-06,USA,tt0090830,1986
2551,The Adventures of Bob & Doug McKenzie: Strange Brew (1983),1.5093825344537357e-06,USA,tt0086373,1983
2552,I Can Do Bad All by Myself (2009),1.5022705193902299e-06,USA,tt1385912,2009
2553,Going Back (1984),1.5014067864138999e-06,USA,tt0085602,1984
2554,Marty (1955),1.4996279606946153e-06,USA,tt0048356,1955
2555,Life of Pi (2012),1.4992136940334973e-06,"USA,Taiwan",tt0454876,2012
2556,Semi-Pro (2008),1.494892267038499e-06,USA,tt0839980,2008
2557,Billy Madison (1995),1.4948363393401033e-06,USA,tt0112508,1995
2558,Conquest of the Planet of the Apes (1972),1.4946763589376048e-06,USA,tt0068408,1972
2559,The Wolfman (2010),1.494241284917725e-06,USA,tt0780653,2010
2560,A Night at the Roxbury (1998),1.4934398836061316e-06,USA,tt0120770,1998
2561,Men at Work (1990),1.492404348471548e-06,USA,tt0100135,1990
2562,Cloverfield (2008),1.4868822992333685e-06,USA,tt1060277,2008
2563,Leave It to Beaver (1997),1.4854372988338495e-06,USA,tt0119509,1997
2564,Center Stage (2000),1.4824069419024012e-06,USA,tt0210616,2000
2565,You'll Never Get Rich (1941),1.4786392324307158e-06,USA,tt0034409,1941
2566,The Enforcer (1976),1.4776593294994047e-06,USA,tt0074483,1976
2567,Eat Pray Love (2010),1.4757610721965878e-06,USA,tt0879870,2010
2568,Problem Child 2 (1991),1.4740238473386459e-06,USA,tt0102719,1991
2569,Into the Wild (2007),1.4727478368708439e-06,USA,tt0758758,2007
2570,May (2002),1.4680842601403697e-06,USA,tt1841736,2002
2571,Dragon: The Bruce Lee Story (1993),1.4667047436569126e-06,USA,tt0106770,1993
2572,Wanted: Dead or Alive (1987),1.4641168363274574e-06,USA,tt0362303,1987
2573,Charlie Chan in Shanghai (1935),1.4628446333568228e-06,USA,tt0026199,1935
2574,Latter Days (2003),1.4621838583831266e-06,USA,tt0345551,2003
2575,Arlington Road (1999),1.4605047948271186e-06,USA,tt0137363,1999
2576,Lara Croft Tomb Raider: The Cradle of Life (2003),1.4556937058275186e-06,"USA,Japan",tt0325703,2003
2577,The Outlaws Is Coming (1965),1.4541085931140963e-06,USA,tt0059558,1965
2578,House II: The Second Story (1987),1.4532833987840559e-06,USA,tt0093220,1987
2579,Nixon (1995),1.4507323125630408e-06,USA,tt0113987,1995
2580,Kiss of Death (1947),1.4501119431245102e-06,USA,tt0039536,1947
2581,The Caine Mutiny (1954),1.4463833383339744e-06,USA,tt0046816,1954
2582,Charlie Chan in Panama (1940),1.4359645095330514e-06,USA,tt0032325,1940
2583,Docks of New Orleans (1948),1.4327813369749734e-06,USA,tt0040296,1948
2584,Return to Horror High (1987),1.4317999829606772e-06,USA,tt0093854,1987
2585,Cat's Eye (1985),1.4314802999425871e-06,USA,tt0088889,1985
2586,976-Evil II (1991),1.425974379940773e-06,USA,tt0101256,1991
2587,Reversal of Fortune (1990),1.4234069780023466e-06,"USA,Japan",tt0100486,1990
2588,Beverly Hills Chihuahua (2008),1.4198768256476281e-06,USA,tt1014775,2008
2589,Hollywood Shuffle (1987),1.4196318282356566e-06,USA,tt0093200,1987
2590,Krull (1983),1.4184859325791283e-06,USA,tt0085811,1983
2591,The Mystery of Mr. Wong (1939),1.4161581025050095e-06,USA,tt0031704,1939
2592,Xtro (1982),1.415958016772353e-06,USA,tt0086610,1982
2593,Saps at Sea (1940),1.4149282424119627e-06,USA,tt0033022,1940
2594,American Flyers (1985),1.4119285457662754e-06,USA,tt0088707,1985
2595,Phantom of the Rue Morgue (1954),1.4074338517902764e-06,USA,tt0047348,1954
2596,The Secret Lives of Dentists (2002),1.4052008845662743e-06,USA,tt0314630,2002
2597,Shadow of the Vampire (2000),1.4019770697733843e-06,USA,tt0189998,2000
2598,Guyver (1991),1.4016610029815774e-06,"USA,Japan",tt0101988,1991
2599,Star 80 (1983),1.3952271990688842e-06,USA,tt0086355,1983
2600,The Mechanic (2011),1.3940470763464051e-06,USA,tt0472399,2011
2601,Buffy the Vampire Slayer (1992),1.3929615052570197e-06,USA,tt0103893,1992
2602,Night of the Demon (1980),1.3921074653995296e-06,USA,tt0081229,1980
2603,The Arrival (1996),1.3921074653995296e-06,USA,tt0115571,1996
2604,The Time Machine (1960),1.3889489513277744e-06,USA,tt0054387,1960
2605,Patriot Games (1992),1.3880713246133804e-06,USA,tt0105112,1992
2606,Flowing Gold (1940),1.3878632353220921e-06,USA,tt0032481,1940
2607,Dark Shadows (2012),1.3847353600023152e-06,USA,tt1077368,2012
2608,Boardinghouse (1982),1.3822042618855088e-06,USA,tt0083670,1982
2609,Shaft's Big Score! (1972),1.381413240697796e-06,USA,tt0069257,1972
2610,The Scenesters (2009),1.3810578274546403e-06,USA,tt1260587,2009
2611,Tomorrow by Midnight (2001),1.3788958494103198e-06,USA,tt0210362,2001
2612,127 Hours (2010),1.3764309918490361e-06,USA,tt1542344,2010
2613,Banshee!!! (2008),1.3741873828503487e-06,USA,tt1073482,2008
2614,Sicario (2015),1.3737158017306336e-06,USA,tt3397884,2015
2615,Code of Silence (1985),1.3727366388346304e-06,USA,tt0088936,1985
2616,The Prize (1963),1.3717508803984863e-06,USA,tt1795015,1963
2617,Whore (1991),1.3708930518854804e-06,USA,tt0103253,1991
2618,When Will I Be Loved (2004),1.3708863150123418e-06,USA,tt0396271,2004
2619,Cho-neung-ryeok-ja (2010),1.3708863150123418e-06,South Korea,tt1900891,2010
2620,Crank: High Voltage (2009),1.3686541643790228e-06,USA,tt1121931,2009
2621,The Cannonball Run (1981),1.368282350618655e-06,"USA,Hong Kong",tt0082136,1981
2622,Quiz Show (1994),1.3671258413656487e-06,USA,tt0110932,1994
2623,F/X (1986),1.3646850232880857e-06,USA,tt0089118,1986
2624,On the Town (1949),1.364275502252039e-06,USA,tt0041716,1949
2625,Chicago (2002),1.3634271863837151e-06,USA,tt0299658,2002
2626,A Simple Plan (1998),1.3626752294973019e-06,"USA,Japan",tt0120324,1998
2627,RiffTrax Live: Birdemic - Shock and Terror (2012),1.3623724839304262e-06,USA,tt2360430,2012
2628,The Man Who Wasn't There (2001),1.3593587731291318e-06,USA,tt0243133,2001
2629,Matinee (1993),1.3581755196177301e-06,USA,tt0107529,1993
2630,It's in the Bag! (1945),1.3551294636279805e-06,USA,tt0171407,1945
2631,The Black Stallion (1979),1.353914117580438e-06,USA,tt0078872,1979
2632,Piranha Part Two: The Spawning (1981),1.352588967567389e-06,USA,tt0082910,1981
2633,Jonah: A VeggieTales Movie (2002),1.3522446931939447e-06,USA,tt0298388,2002
2634,Red Planet (2000),1.3509806772053976e-06,USA,tt0199753,2000
2635,Poetic Justice (1993),1.3499941996336827e-06,USA,tt0107840,1993
